WKT,PLANID,LAAG
"LINESTRING (90347.041259 437146.635586,90331.365783 437167.859431)","582",ALG_CODERINGEN
"LINESTRING (91664.754037 433711.37385,91658.01324 433715.718583,91652.433863 433707.310933)","574",ALG_CODERINGEN
"LINESTRING (91537.150565 434290.277801,91541.395245 434288.555066,91534.939781 434272.649333)","574",ALG_CODERINGEN
"LINESTRING (86753.864521 432473.508028,86760.273268 432473.508028)","634",ALG_CODERINGEN
"LINESTRING (87829.164422 440926.935824,87832.100554 440922.25867)","646",ALG_CODERINGEN
"LINESTRING (94734.821074 436327.979916,94735.974973 436325.962391)","687",ALG_CODERINGEN
"LINESTRING (90478.252979 437140.564911,90468.304183 437142.050139,90466.601928 437130.647583)","582",ALG_CODERINGEN
"LINESTRING (90838.400122 436307.864081,90841.744195 436297.489212,90844.905946 436287.679989)","582",ALG_CODERINGEN
"LINESTRING (91648.488115 434180.450914,91646.822286 434173.084246,91662.27545 434169.589812)","574",ALG_CODERINGEN
"LINESTRING (91756.313862 433800.166118,91752.760373 433795.073546)","574",ALG_CODERINGEN
"LINESTRING (86404.093755 441723.041331,86406.738853 441722.122933,86406.002503 441720.002155,86412.423128 441723.113283,86409.311999 441729.533908,86408.575649 441727.41313,86405.930551 441728.331528,86404.093755 441723.041331)","646",ALG_CODERINGEN
"LINESTRING (90417.999225 436493.171341,90431.816582 436472.778414)","582",ALG_CODERINGEN
"LINESTRING (99335.464945 443233.06496,99335.467267 443233.061463)","442",ALG_MAATVOERING
"LINESTRING (92880.891451 435024.652464,92881.653192 435021.679956)","569",ALG_CODERINGEN
"LINESTRING (94672.309468 435711.936899,94673.349618 435710.256173,94675.642774 435710.410742)","687",ALG_CODERINGEN
"LINESTRING (94670.960677 436403.548331,94672.583772 436401.784199)","687",ALG_CODERINGEN
"LINESTRING (91980.631796 433835.200276,91981.475584 433838.193204)","574",ALG_CODERINGEN
"LINESTRING (95549.479985 433964.115574,95554.143205 433964.115574)","572",ALG_CODERINGEN
"LINESTRING (90503.80597 437024.963451,90505.679675 437037.514466,90499.895491 437038.37797)","582",ALG_CODERINGEN
"LINESTRING (92088.83214 434223.504989,92088.808442 434220.835163)","574",ALG_CODERINGEN
"LINESTRING (94390.532217 433466.844274,94394.298105 433467.743158)","598",ALG_CODERINGEN
"LINESTRING (92256.512434 434971.550417,92255.09085 434967.741558)","586",ALG_CODERINGEN
